Time,IMSI,Level,Qual,SNR,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,serving_cell,best_neigh_cell
0.5,2,-50.1764,0,49.8236,15,-83.7811,16.2189,-83.7811,0,30,88064,85888,20,2,7
0.5,3,-78.9488,0,21.0512,12.296,-78.8864,21.1136,-78.8864,0,18,0,0,20,2,5
0.5,4,-81.3797,0,18.6203,11.191,-90.3445,9.65549,-90.3445,0,110,61440,62464,20,3,2
0.5,5,-60.4617,0,39.5383,15,-91.228,8.77203,-91.228,0,38,0,0,20,3,4
0.5,6,-41.2842,0,58.7158,15,-95.6997,4.30032,-95.6997,0,65,36864,37088,20,3,4
0.5,7,-75.9238,0,24.0762,13.671,-90.4972,9.50281,-90.4972,0,60,0,0,20,4,3
0.5,9,-72.3869,0,27.6131,15,-93.14,6.86001,-93.14,0,75,0,0,20,4,3
0.5,10,-55.3304,0,44.6696,15,-81.9579,18.0421,-81.9579,0,135,0,0,20,4,3
0.5,1,-50.6146,0,49.3854,15,-93.6695,6.33053,-93.6695,0,55,0,0,20,5,4
0.5,8,-78.5466,0,21.4534,12.4788,-92.1322,7.86784,-92.1322,0,130,10240,13664,20,5,6
0.5,11,-51.0213,0,48.9787,15,-96.5202,3.47983,-96.5202,0,90,0,0,20,5,6
0.5,12,-68.8346,0,31.1654,15,-92.6842,7.31577,-92.6842,0,45,0,0,20,5,2
0.5,13,-56.5892,0,43.4108,15,-95.7611,4.23886,-95.7611,0,22,0,0,20,5,6
0.5,14,-43.5906,0,56.4094,15,-94.971,5.02898,-94.971,0,35,0,0,20,6,5
0.5,15,-87.4831,0,12.5169,8.41678,-97.9581,2.04187,-97.9581,0,120,0,0,20,6,7
0.5,16,-76.0393,0,23.9607,13.6185,-86.7462,13.2538,-86.7462,0,60,0,0,20,6,7
0.5,17,-79.9892,0,20.0108,11.8231,-89.7979,10.2021,-89.7979,0,20,0,0,20,7,8
0.5,18,-75.7039,0,24.2961,13.771,-90.8469,9.15309,-90.8469,0,15,0,0,20,7,8
0.5,19,-67.9373,0,32.0627,15,-92.8967,7.10333,-92.8967,0,105,0,0,20,7,6
0.5,20,-76.7043,0,23.2957,13.3162,-85.901,14.099,-85.901,0,25,0,0,20,8,7
0.6,2,-50.6952,0,49.3048,15,-93.3545,6.64553,-93.3545,0,30,112640,111264,20,2,8
0.6,3,-66.2163,0,33.7837,15,-90.3193,9.68067,-90.3193,0,18,0,0,20,2,5
0.6,4,-81.4945,0,18.5055,11.1389,-98.0354,1.9646,-98.0354,0,110,88064,85888,20,3,8
0.6,5,-74.834,0,25.166,14.1664,-90.9676,9.03242,-90.9676,0,38,0,0,20,3,4
0.6,6,-38.0896,0,61.9104,15,-95.6261,4.37386,-95.6261,0,65,61440,62464,20,3,8
0.6,7,-75.7636,0,24.2364,13.7438,-79.0804,20.9196,-79.0804,0,60,0,0,20,4,3
0.6,9,-71.2432,0,28.7568,15,-93.0366,6.96341,-93.0366,0,75,0,0,20,4,3
0.6,10,-72.9308,0,27.0692,15,-92.4388,7.56122,-92.4388,0,135,10240,13664,20,4,3
