Time,IMSI,Level,Qual,SNR,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,serving_cell,best_neigh_cell
0.5,2,-45.8871,0,49.8236,15,-64.1494,16.2189,-64.1494,0,30,88064,85888,20,2,7
0.5,3,-55.4071,0,21.0512,12.296,-62.2596,21.1136,-62.2596,0,18,0,0,20,2,5
0.5,4,-56.9098,0,18.6203,11.191,-66.4499,9.65549,-66.4499,0,110,61440,62464,20,3,2
0.5,5,-52.3618,0,39.5383,15,-62.846,8.77203,-62.846,0,38,0,0,20,3,4
0.5,6,-38.7536,0,58.7158,15,-65.4035,4.30032,-65.4035,0,65,36864,37088,20,3,4
0.5,7,-53.73,0,24.0762,13.671,-62.335,9.50281,-62.335,0,60,0,0,20,4,3
0.5,9,-51.8925,0,27.6131,15,-63.9427,6.86001,-63.9427,0,75,0,0,20,4,3
0.5,10,-48.7589,0,44.6696,15,-64.0368,18.0421,-64.0368,0,135,0,0,20,4,3
0.5,1,-47.1136,0,49.3854,15,-64.179,6.33053,-64.179,0,55,0,0,20,5,4
0.5,8,-54.943,0,21.4534,12.4788,-63.1912,7.86784,-63.1912,0,130,10240,13664,20,5,6
0.5,11,-47.8489,0,48.9787,15,-66.006,3.47983,-66.006,0,90,0,0,20,5,6
0.5,12,-49.5514,0,31.1654,15,-63.5952,7.31577,-63.5952,0,45,0,0,20,5,2
0.5,13,-50.5253,0,43.4108,15,-65.5002,4.23886,-65.5002,0,22,0,0,20,5,6
0.5,14,-39.2924,0,56.4094,15,-65.0516,5.02898,-65.0516,0,35,0,0,20,6,5
0.5,15,-60.271,0,12.5169,8.41678,-66.6584,2.04187,-66.6584,0,120,0,0,20,6,7
0.5,16,-53.98,0,23.9607,13.6185,-62.2607,13.2538,-62.2607,0,60,0,0,20,6,7
0.5,17,-56.1079,0,20.0108,11.8231,-61.9406,10.2021,-61.9406,0,20,0,0,20,7,8
0.5,18,-53.5233,0,24.2961,13.771,-62.5417,9.15309,-62.5417,0,15,0,0,20,7,8
0.5,19,-48.9471,0,32.0627,15,-63.701,7.10333,-63.701,0,105,0,0,20,7,6
0.5,20,-54.1351,0,23.2957,13.3162,-62.5398,14.099,-62.5398,0,25,0,0,20,8,7
0.55,2,-46.4012,0,49.5601,15,-64.0749,6.58339,-64.0749,0,30,100352,97600,20,2,8
0.55,3,-55.5368,0,33.9056,15,-62.2417,9.66609,-62.2417,0,18,0,0,20,2,5
0.55,4,-56.9409,0,18.5781,11.1719,-66.7028,2.17254,-66.7028,0,110,73728,74176,20,3,8
0.55,5,-52.8108,0,25.5282,14.331,-62.6936,8.90374,-62.6936,0,38,0,0,20,3,4
0.55,6,-35.495,0,60.4207,15,-65.4684,4.24381,-65.4684,0,65,49152,48800,20,3,4
0.55,7,-53.614,0,24.1672,13.7124,-62.3454,20.9342,-62.3454,0,60,0,0,20,4,3
0.55,9,-51.2083,0,28.1994,15,-63.8784,6.91402,-63.8784,0,75,0,0,20,4,3
0.55,10,-50.9809,0,28.6351,15,-63.6719,7.25496,-63.6719,0,135,0,0,20,4,3
0.55,1,-45.9412,0,37.042,15,-64.2787,6.24436,-64.2787,0,55,0,0,20,5,4
0.55,8,-55.5637,0,33.8662,15,-63.4475,7.64479,-63.4475,0,130,22528,25376,20,5,6
0.55,11,-45.9252,0,50.0047,15,-65.8118,3.66105,-65.8118,0,90,0,0,20,5,6
0.55,12,-49.3577,0,45.6686,15,-63.6898,7.23419,-63.6898,0,45,0,0,20,5,2
0.55,13,-50.5698,0,43.3646,15,-65.4379,4.2925,-65.4379,0,22,0,0,20,5,6
0.55,14,-39.8955,0,56.0684,15,-64.944,5.12179,-64.944,0,35,0,0,20,6,5
0.55,15,-60.8408,0,12.0325,8.19657,-66.9079,1.82773,-66.9079,0,120,0,0,20,6,7
0.55,16,-53.4688,0,24.4029,13.8195,-62.4916,9.25091,-62.4916,0,60,0,0,20,6,5
0.55,17,-56.0664,0,20.0459,11.8391,-61.9039,14.7025,-61.9039,0,20,0,0,20,7,2
0.55,18,-53.556,0,24.2674,13.7579,-62.5531,13.6904,-62.5531,0,15,0,0,20,7,6
0.55,19,-48.9919,0,46.3745,15,-63.8416,6.98007,-63.8416,0,105,0,0,20,7,6
0.55,20,-54.134,0,23.2951,13.316,-62.5963,9.07149,-62.5963,0,25,0,0,20,8,3
